scan_date,symbol,name,market,close,open,high,low,volume,pivot_high,volume_ma20,volume_ratio,price_change_pct,score
2026-02-09,105560,KB금융,KOSPI,710626,688448,300921,794261,3657144,375845,1229419,14.5,-1.74,1489.2
2026-02-09,207940,삼성바이오로직스,KOSPI,545158,305570,528975,628043,3426689,452219,4197911,23.2,12.79,1331.1
2026-02-09,005380,현대차,KOSPI,542296,327896,405007,703534,7668663,731403,2347467,21.5,24.83,1303.1
2026-02-09,005930,삼성전자,KOSPI,168972,533863,173172,729172,3583206,572584,5896624,13.5,4.57,1268.6
2026-02-09,005490,POSCO홀딩스,KOSPI,108845,357618,425876,443049,8225725,202640,5096953,14.0,14.81,1209.5
2026-02-09,000660,SK하이닉스,KOSPI,387408,247816,781380,300405,7425184,294907,7891662,2.5,21.06,1087.3
2026-02-09,051910,LG화학,KOSPI,123201,339666,485098,406385,9518424,330150,1043037,8.1,5.45,921.7
2026-02-09,000270,기아,KOSPI,741998,563425,205813,518238,9125900,411888,6577416,14.5,14.02,737.5
2026-02-09,028260,삼성물산,KOSPI,449749,454832,745928,733691,3551903,569389,1621086,4.5,28.79,564.8
2026-02-09,055550,신한지주,KOSPI,448468,382043,707246,561650,1602286,697453,2147909,7.0,18.95,502.3
2026-02-09,006400,삼성SDI,KOSPI,155239,511694,154555,601499,8665981,66093,3418526,11.1,17.92,316.1
2026-02-09,012330,현대모비스,KOSPI,288536,144769,505052,153225,2686231,515230,3791137,17.8,26.62,164.4
