scan_date,symbol,name,market,close,open,high,low,volume,pivot_high,volume_ma20,volume_ratio,price_change_pct,score
2026-02-28,000270,기아,KOSPI,147666,530718,715678,746405,7009980,116407,9966154,10.8,28.88,1254.8
2026-02-28,051910,LG화학,KOSPI,759083,461776,563234,199077,5508325,708309,7949543,10.3,-2.36,1212.4
2026-02-28,005490,POSCO홀딩스,KOSPI,147616,472419,590659,341740,7191986,526782,9188027,9.2,-4.91,1183.8
2026-02-28,035720,카카오,KOSPI,112165,340794,737757,183051,3226183,311805,3453557,18.2,24.0,1166.1
2026-02-28,068270,셀트리온,KOSPI,767956,565611,485820,794638,8446596,562438,3806047,3.4,-3.92,1165.5
2026-02-28,005380,현대차,KOSPI,585618,168710,650534,169754,5494430,619488,7154919,14.2,21.49,1164.0
2026-02-28,005930,삼성전자,KOSPI,356278,84283,338204,285765,5843084,226379,8672579,14.8,22.04,793.4
2026-02-28,012330,현대모비스,KOSPI,512806,622892,279157,495807,2718262,735424,5152891,8.5,29.98,729.6
2026-02-28,006400,삼성SDI,KOSPI,415509,141208,510398,173088,4975295,270073,6882609,21.7,16.36,699.4
2026-02-28,207940,삼성바이오로직스,KOSPI,788253,356849,353387,650556,5485272,589403,2597613,4.7,21.25,676.2
2026-02-28,105560,KB금융,KOSPI,568746,331581,388548,347368,6666591,623896,3191007,14.8,11.99,581.2
2026-02-28,000660,SK하이닉스,KOSPI,696081,195998,266656,266995,1995859,647766,6885707,14.0,15.89,335.7
