scan_date,symbol,name,market,close,open,high,low,volume,pivot_high,volume_ma20,volume_ratio,price_change_pct,score
2026-02-24,005490,POSCO홀딩스,KOSPI,67538,605134,338086,611762,5809835,67975,9425786,20.6,18.59,1228.6
2026-02-24,006400,삼성SDI,KOSPI,619408,640882,740077,84500,4009069,379761,1262699,24.1,15.55,1153.2
2026-02-24,005930,삼성전자,KOSPI,466176,132857,441172,475750,8700704,642447,5080351,24.8,2.91,1057.7
2026-02-24,051910,LG화학,KOSPI,134532,735491,731463,83223,2568678,474965,7362994,10.4,11.66,991.4
2026-02-24,105560,KB금융,KOSPI,323441,630189,662401,657275,8005797,359531,3557039,6.1,3.05,897.7
2026-02-24,012330,현대모비스,KOSPI,307666,573555,627390,736406,6663388,319826,9197701,24.2,17.46,786.8
2026-02-24,055550,신한지주,KOSPI,528160,441329,113386,697847,9106820,741309,9184838,1.9,13.63,675.9
2026-02-24,035720,카카오,KOSPI,237974,162214,150992,599857,3498085,302674,4220085,16.1,3.83,596.2
2026-02-24,068270,셀트리온,KOSPI,603815,94618,290927,271686,8977571,334263,1781180,23.2,18.96,492.5
2026-02-24,207940,삼성바이오로직스,KOSPI,750674,100871,56693,482424,3306725,711338,4882808,3.1,0.29,406.2
2026-02-24,035420,NAVER,KOSPI,786986,229708,136702,574139,8279795,726234,6557798,14.8,25.03,233.5
2026-02-24,005380,현대차,KOSPI,226405,419283,227487,196757,9192588,242988,1985360,13.8,24.37,204.1
