scan_date,symbol,name,market,close,open,high,low,volume,pivot_high,volume_ma20,volume_ratio,price_change_pct,score
2026-02-16,005380,현대차,KOSPI,100126,737584,398048,336488,3088344,435896,8330827,22.4,21.02,1352.5
2026-02-16,005490,POSCO홀딩스,KOSPI,451451,644799,83958,684487,3574265,762048,8548448,23.8,8.02,1168.3
2026-02-16,035420,NAVER,KOSPI,651800,194383,605178,434774,7677903,379657,5675638,7.4,-1.03,1129.9
2026-02-16,006400,삼성SDI,KOSPI,506068,337892,720532,110144,2258981,753787,7815076,10.0,23.04,1051.2
2026-02-16,000270,기아,KOSPI,455426,405505,245892,570306,9347057,435191,9712003,7.8,-2.11,694.3
2026-02-16,028260,삼성물산,KOSPI,82653,199715,687086,761027,8351320,86489,3117788,3.1,22.25,612.9
2026-02-16,005930,삼성전자,KOSPI,375138,590418,467568,619408,8942330,315618,1614394,19.2,1.69,599.8
2026-02-16,055550,신한지주,KOSPI,681894,496815,224739,773270,8447546,418623,8501590,2.5,25.45,593.6
2026-02-16,000660,SK하이닉스,KOSPI,191403,116165,529911,88780,5923149,261383,1734947,20.1,26.0,541.8
2026-02-16,105560,KB금융,KOSPI,501524,681718,239222,621971,5928582,386814,2721307,3.4,18.13,529.1
