scan_date,symbol,name,market,close,open,high,low,volume,pivot_high,volume_ma20,volume_ratio,price_change_pct,score
2026-02-01,055550,신한지주,KOSPI,83659,380776,470651,330746,2110460,271231,6279418,6.5,12.47,1338.6
2026-02-01,105560,KB금융,KOSPI,763536,492666,675380,116613,7455324,450156,8852574,13.9,28.99,1305.1
2026-02-01,028260,삼성물산,KOSPI,402944,157175,147251,448382,2622631,426417,6770619,15.7,23.25,1121.6
2026-02-01,035420,NAVER,KOSPI,81244,148246,279258,293962,9478454,681262,1445199,14.7,20.06,1081.9
2026-02-01,005380,현대차,KOSPI,724079,531141,199811,327746,3342608,308607,5408072,19.1,10.0,916.9
2026-02-01,068270,셀트리온,KOSPI,372451,301083,110738,302572,2321324,139814,9153566,20.7,29.23,845.8
2026-02-01,005490,POSCO홀딩스,KOSPI,422528,269684,752729,329946,2197935,688720,3871230,14.1,3.57,747.2
2026-02-01,012330,현대모비스,KOSPI,62038,763328,170116,764825,5476583,722097,6707197,4.1,10.22,735.2
2026-02-01,006400,삼성SDI,KOSPI,442077,219396,615579,606116,1009594,678038,6438436,13.0,-1.08,608.2
2026-02-01,000660,SK하이닉스,KOSPI,333060,721088,771590,634004,4684531,767870,6440561,21.3,22.16,420.7
2026-02-01,000270,기아,KOSPI,326183,574902,237330,582342,2785277,705674,6007072,21.3,12.77,378.5
2026-02-01,207940,삼성바이오로직스,KOSPI,288968,353445,133667,294098,2694522,448591,5663623,12.2,24.19,327.7
2026-02-01,035720,카카오,KOSPI,429580,279974,195051,584277,9279821,145325,1790481,21.7,0.35,324.0
2026-02-01,005930,삼성전자,KOSPI,489898,281148,521029,667889,5667265,56814,3678638,17.9,6.91,317.7
2026-02-01,051910,LG화학,KOSPI,612275,180889,446922,132627,5918715,709176,7067228,15.1,19.66,164.2
