scan_date,symbol,name,market,close,open,high,low,volume,pivot_high,volume_ma20,volume_ratio,price_change_pct,score
2026-02-18,005380,현대차,KOSPI,102995,345023,568934,676543,8895137,349628,1137194,21.4,10.08,1335.4
2026-02-18,035420,NAVER,KOSPI,433366,201275,258727,681728,9541658,470884,9389915,2.4,-3.64,1099.0
2026-02-18,207940,삼성바이오로직스,KOSPI,67445,436251,397329,756537,2838859,486774,6161977,20.2,20.39,1063.3
2026-02-18,035720,카카오,KOSPI,178473,330464,521435,309961,3363534,151514,1849015,8.3,8.45,961.5
2026-02-18,000660,SK하이닉스,KOSPI,310330,217457,393341,655748,6246485,249055,3673322,13.2,13.02,798.3
2026-02-18,068270,셀트리온,KOSPI,696447,363769,672565,402713,9511333,584473,9931180,13.0,14.7,764.8
2026-02-18,028260,삼성물산,KOSPI,546756,594559,529187,206175,9648751,196570,6502353,23.4,6.15,650.1
2026-02-18,000270,기아,KOSPI,433545,472842,433713,97440,7720644,103642,4265774,10.0,5.1,640.9
2026-02-18,105560,KB금융,KOSPI,373528,571530,74302,144423,7597509,579996,8671057,24.2,2.53,594.1
2026-02-18,005490,POSCO홀딩스,KOSPI,522230,626566,343308,703516,2993318,184913,2622046,10.8,22.82,574.7
