scan_date,symbol,name,market,close,open,high,low,volume,pivot_high,volume_ma20,volume_ratio,price_change_pct,score
2026-02-06,207940,삼성바이오로직스,KOSPI,447542,341773,492042,314525,2374158,543152,1325197,19.1,-3.18,1432.7
2026-02-06,005490,POSCO홀딩스,KOSPI,614315,556983,537455,506732,5502929,387960,5118725,21.0,-1.97,1334.3
2026-02-06,055550,신한지주,KOSPI,182352,546564,751978,169946,4656838,537623,5299055,19.5,0.87,950.1
2026-02-06,028260,삼성물산,KOSPI,608623,499186,743655,438571,2156902,580538,6724909,1.8,9.7,786.3
2026-02-06,000660,SK하이닉스,KOSPI,305709,537282,647530,689979,7358385,402737,1481506,13.1,6.38,782.6
2026-02-06,068270,셀트리온,KOSPI,499433,192291,534125,240556,1843636,322793,7360307,9.2,10.91,572.5
2026-02-06,012330,현대모비스,KOSPI,476170,562311,632144,301997,8987516,727278,9234615,12.0,-4.4,511.9
2026-02-06,005930,삼성전자,KOSPI,504582,429781,716459,532071,3566765,506641,3955087,18.7,28.79,478.1
2026-02-06,005380,현대차,KOSPI,422060,320902,406871,343243,5635017,632789,1170307,13.6,1.69,437.9
2026-02-06,006400,삼성SDI,KOSPI,285113,731725,121951,733414,1675419,82537,5148725,6.2,-4.29,313.3
2026-02-06,105560,KB금융,KOSPI,223061,540094,183827,702483,9961107,78276,7610562,15.4,18.2,217.5
2026-02-06,051910,LG화학,KOSPI,170096,221720,376147,163349,1430812,377110,7296605,10.8,20.03,206.4
2026-02-06,035720,카카오,KOSPI,774161,707711,304646,156851,6059717,767497,3030966,20.2,14.81,157.5
