scan_date,symbol,name,market,close,open,high,low,volume,pivot_high,volume_ma20,volume_ratio,price_change_pct,score
2026-02-03,005380,현대차,KOSPI,103266,146781,715095,494151,5641923,96228,1059486,9.3,-0.42,1471.7
2026-02-03,055550,신한지주,KOSPI,379445,300280,328517,465011,3195773,754318,6033115,12.2,27.52,1410.0
2026-02-03,105560,KB금융,KOSPI,559231,554740,274130,470521,1983738,222634,7358113,1.6,8.66,1397.1
2026-02-03,006400,삼성SDI,KOSPI,335577,345442,684210,270861,6752576,263487,5428914,13.4,3.79,1371.4
2026-02-03,207940,삼성바이오로직스,KOSPI,219430,513298,628478,789945,8175395,638153,1162230,4.1,28.08,1067.4
2026-02-03,005930,삼성전자,KOSPI,657040,673398,91672,699468,2375453,489589,9770838,8.9,4.13,1037.6
2026-02-03,028260,삼성물산,KOSPI,122132,306150,437477,348830,3646552,509469,6075395,15.9,29.55,1015.6
2026-02-03,012330,현대모비스,KOSPI,527110,349105,493555,780429,9164991,212316,4185957,8.5,28.9,910.9
2026-02-03,035420,NAVER,KOSPI,582496,134002,244851,121849,2140194,758011,4946066,11.0,27.96,897.5
2026-02-03,035720,카카오,KOSPI,58203,750305,631542,363921,2737893,190814,5437001,4.2,-1.25,874.5
2026-02-03,005490,POSCO홀딩스,KOSPI,59767,530547,701332,640341,2677407,126819,4576135,13.4,-0.36,588.6
2026-02-03,000270,기아,KOSPI,618532,113918,378838,109942,1841248,662554,8999183,13.3,24.85,320.4
