scan_date,symbol,name,market,close,open,high,low,volume,pivot_high,volume_ma20,volume_ratio,price_change_pct,score
2026-02-17,000270,기아,KOSPI,178594,192321,127649,524001,3896693,798022,8467726,24.9,23.37,1454.6
2026-02-17,006400,삼성SDI,KOSPI,593269,210448,368897,222655,3717354,388334,4782763,9.6,27.93,1352.9
2026-02-17,000660,SK하이닉스,KOSPI,722612,654788,327511,732759,4536777,649929,7989166,16.0,-3.94,1344.6
2026-02-17,005490,POSCO홀딩스,KOSPI,411249,184568,628083,720872,4052834,185300,8258130,13.3,25.39,1263.9
2026-02-17,028260,삼성물산,KOSPI,510959,485810,557774,537002,4422938,406717,3410360,8.8,20.14,1127.9
2026-02-17,035720,카카오,KOSPI,385112,750280,414301,794007,2089496,626713,5871470,22.4,24.8,1096.5
2026-02-17,051910,LG화학,KOSPI,551916,601231,480749,479322,2237331,181414,6318841,16.6,10.75,1052.2
2026-02-17,207940,삼성바이오로직스,KOSPI,132690,312778,255837,715905,5604524,181250,6080553,15.9,-1.73,997.4
2026-02-17,035420,NAVER,KOSPI,568019,77560,428427,630933,7189302,540110,3177199,15.9,-1.98,533.0
2026-02-17,055550,신한지주,KOSPI,784233,718676,232547,429052,9535505,285134,3036124,24.7,22.72,431.4
2026-02-17,105560,KB금융,KOSPI,622079,353742,723088,366768,9102469,306773,7813102,8.5,-2.45,183.9
2026-02-17,068270,셀트리온,KOSPI,670556,658851,211684,229516,6664316,640996,1691125,20.9,-4.01,163.6
