scan_date,symbol,name,market,close,open,high,low,volume,pivot_high,volume_ma20,volume_ratio,price_change_pct,score
2026-02-15,005490,POSCO홀딩스,KOSPI,520735,295369,609951,300786,6192009,541798,4255051,10.1,28.15,1478.2
2026-02-15,012330,현대모비스,KOSPI,137949,218099,336042,521145,9612629,204506,8339571,3.7,26.87,1243.4
2026-02-15,051910,LG화학,KOSPI,441435,315971,67031,424440,2133461,411551,5045421,18.7,16.99,1180.1
2026-02-15,035420,NAVER,KOSPI,705087,223580,508933,95814,7893063,431995,4985095,24.3,16.37,1153.3
2026-02-15,055550,신한지주,KOSPI,251332,287547,194247,212471,2294615,360160,2696860,13.4,13.89,1134.1
2026-02-15,000270,기아,KOSPI,602108,89581,744083,403123,3198638,676258,7320310,5.1,1.33,1070.0
2026-02-15,006400,삼성SDI,KOSPI,688457,603408,493814,166587,5833542,299183,6052478,4.4,3.35,994.5
2026-02-15,207940,삼성바이오로직스,KOSPI,428120,120966,601613,620511,9511546,582280,1341153,10.7,11.45,989.9
2026-02-15,000660,SK하이닉스,KOSPI,195534,789808,541897,520392,1088100,133074,1318832,7.5,24.22,868.3
2026-02-15,068270,셀트리온,KOSPI,200551,355420,500089,51640,6919270,302249,7988844,5.9,18.39,832.9
2026-02-15,005930,삼성전자,KOSPI,79556,384165,153896,799421,6625238,203143,3308538,2.4,27.11,761.4
2026-02-15,005380,현대차,KOSPI,416566,77965,485050,105843,7651393,576392,7274032,7.0,29.81,624.9
2026-02-15,105560,KB금융,KOSPI,703064,529318,115858,166242,9385742,675726,9993490,1.9,13.04,438.7
2026-02-15,028260,삼성물산,KOSPI,534106,345459,450422,577335,9849306,488997,3718884,20.7,23.04,293.8
2026-02-15,035720,카카오,KOSPI,312147,104714,722324,553935,7227905,631478,2721170,18.2,13.06,274.5
