scan_date,symbol,name,market,close,open,high,low,volume,pivot_high,volume_ma20,volume_ratio,price_change_pct,score
2026-02-05,012330,현대모비스,KOSPI,686130,736508,387902,537575,8411939,513638,4585314,13.5,22.78,1443.8
2026-02-05,005380,현대차,KOSPI,55814,161764,495798,279471,3950888,779716,9689889,12.4,14.51,1384.5
2026-02-05,028260,삼성물산,KOSPI,747229,447562,760219,232480,6049101,475800,1006810,8.6,2.36,1200.1
2026-02-05,055550,신한지주,KOSPI,375498,285552,258802,204511,1409790,98458,5107776,24.6,16.39,1175.9
2026-02-05,051910,LG화학,KOSPI,618969,538557,485970,115290,4470105,490552,7534336,22.8,15.44,1073.7
2026-02-05,207940,삼성바이오로직스,KOSPI,527538,484572,710356,653634,4262081,780180,7442089,13.1,3.54,1018.5
2026-02-05,005930,삼성전자,KOSPI,579298,497470,624485,517574,3670226,547732,8550917,7.6,3.65,992.7
2026-02-05,035720,카카오,KOSPI,177253,528634,189816,537213,9910914,636075,6323376,23.8,26.2,957.7
2026-02-05,068270,셀트리온,KOSPI,653655,448858,550149,56182,6901533,363118,7542890,21.6,28.37,686.6
2026-02-05,000660,SK하이닉스,KOSPI,616390,134491,195095,208157,4879923,451641,3563646,18.1,-2.75,670.6
2026-02-05,000270,기아,KOSPI,596622,558136,707193,300867,5606980,511239,2299954,18.3,3.21,570.2
2026-02-05,105560,KB금융,KOSPI,227934,740855,138914,347571,9647849,746101,6623525,3.7,28.32,428.8
2026-02-05,005490,POSCO홀딩스,KOSPI,180679,364910,581756,374308,7851696,392027,7751158,17.9,14.4,368.6
