scan_date,symbol,name,market,close,open,high,low,volume,pivot_high,volume_ma20,volume_ratio,price_change_pct,score
2026-02-11,005380,현대차,KOSPI,768987,435178,620913,726149,7017548,113491,7679674,8.0,28.89,1428.6
2026-02-11,051910,LG화학,KOSPI,755000,324896,662955,449534,7232293,163609,4922880,12.6,16.68,1420.4
2026-02-11,006400,삼성SDI,KOSPI,439033,753055,780316,616432,8031780,665870,3592464,22.3,17.92,1267.2
2026-02-11,068270,셀트리온,KOSPI,116645,549380,520050,429625,9610704,672503,2829622,12.1,2.75,961.1
2026-02-11,207940,삼성바이오로직스,KOSPI,121942,631128,267220,664867,4623062,294316,6512314,19.7,22.6,934.4
2026-02-11,035420,NAVER,KOSPI,526805,146126,744963,272409,1358318,103035,6595355,7.2,-0.59,890.4
2026-02-11,000660,SK하이닉스,KOSPI,393939,689717,282120,729112,2060605,716269,8789116,22.9,5.58,671.6
2026-02-11,012330,현대모비스,KOSPI,196566,97549,89019,369149,9264869,171761,2630611,7.0,13.81,644.1
2026-02-11,000270,기아,KOSPI,757166,466716,634384,433542,2515030,463741,1233516,7.7,-0.67,616.0
2026-02-11,028260,삼성물산,KOSPI,695558,477940,343328,84305,7216461,277823,8438733,12.0,3.26,607.8
2026-02-11,005490,POSCO홀딩스,KOSPI,299489,667457,389498,66547,3923366,328258,1879109,4.5,9.73,259.1
2026-02-11,105560,KB금융,KOSPI,740909,596781,366282,530292,1522621,113780,9035982,21.4,9.92,251.1
2026-02-11,005930,삼성전자,KOSPI,340743,201716,186306,616456,5205279,232973,2844258,17.0,-4.1,120.8
